"Data Source","World Development Indicators",

"Last Updated Date","2021-07-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Australia","AUS","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.1051022623951","34.821986433365","33.5935241979634","32.9892102101198","32.1583647752095","30.9053432137744","29.0686112856302","27.5327657856306","25.8982833839974","24.5843396462752","23.3217416133842","21.7852704934953","22.4368270925197","20.8443067136401","19.5562204472428","19.1250758041701","18.7969943691212","17.9231214429451","16.5836018982694","17.0694951354709","13.0098111105734","12.9449256399459","12.6278610796613","12.1385318591524","11.6256278578571","10.6932244780756","9.38454626103003","9.41446188413572","9.05227338323452","8.22831352185592","7.86375576972614","6.65419458440823",
"Australia","AUS","Merchandise exports to high-income economies (% of total merchandise exports)","TX.VAL.MRCH.HI.ZS","79.2327846161451","76.5704511438957","78.6086357570279","75.9326676999603","74.2955026366171","74.0051238257899","77.3181889887995","71.7724852579149","78.0204487361545","77.7910948358765","76.6976341459334","77.2611662293753","80.5953329556463","81.0569675869396","72.7257729505182","72.5347777190788","76.5976069041022","75.5066938478819","76.3002868585524","73.7994351416401","71.4779919838953","73.6350598749014","72.0444752847942","75.3987636548395","74.811550795693","74.7134798709969","74.5784408797393","78.0169624690871","79.1969828255825","76.7887566092796","77.734105973877","78.9437037634603","77.8178794200304","75.8300725973752","74.1145167093915","74.2491829447212","70.9509417903799","70.390688159621","73.8949445240323","73.2040415309711","72.7689279119847","72.4940932325727","72.2899346257169","71.4783869177713","68.0340394514275","66.0299973749833","65.1216568205692","64.0777511972747","64.1231134904344","56.4555718455891","54.009204908932","52.8387894059347","51.8289400113397","46.3695746506648","47.8157428799388","48.1854193401532","48.5784518817275","46.661811190147","47.4584712468393","46.4349128053299","",
"Australia","AUS","Commercial service imports (current US$)","TM.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13173896301.2851","13750720072.6034","13505867983.4177","13661445182.1349","13579476562.2953","15731180933.632","17459764200.2455","18960718153.8413","19296811681.0372","18134703419.4551","18824448212.2192","18960053960.4325","17145686008.7939","18173130121.1152","21872213443.9979","27858274534.9692","30534298016.2036","32700135192.8678","41476398245.1608","49014155990.626","42257086696.6078","50803769079.2519","61455957919.9902","65741784357.5456","66761299487.6441","66749264533.5475","62769665860.7139","61499878529.2808","67392204900.9734","72127923324.3275","70791756275.3657","37098830755.3634",
"Australia","AUS","Ores and metals imports (% of merchandise imports)","TM.VAL.MMTL.ZS.UN","","","","2.68171327746951","2.7020076653534","3.43590737164664","2.60654094263402","2.99725702599653","3.28760177803315","2.48539008931985","2.27947256161329","2.0055851843482","1.93339549178715","2.11386385907419","2.20516412132208","1.9512437681864","1.56600421151433","1.63619365516158","1.72264233211084","1.7682165946024","2.14020101192767","1.80517607706829","1.45653703821575","1.43617881957958","1.26903811676726","1.25984445736698","1.26212038352201","1.3264446894925","1.52840157697368","1.51878863656302","1.42354642723879","1.22744102184776","1.37844140192008","1.19049707732363","1.34965204205083","1.32710007808513","1.15623574751407","1.26299553284131","1.30735045875428","1.12029451231626","1.13286068100656","1.23703553649526","1.18320967857938","1.23099789740414","1.04935408652103","1.09534011732853","1.32410140967909","1.51780167934174","1.57075400104302","1.25261140626768","1.6746943137504","2.00091868514911","1.4871651900591","1.43131944784022","1.63720142453249","1.584361369434","1.58269523808239","1.39969018568347","1.45919805721329","1.28833162132995","",
"Australia","AUS","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.87","","11.01","","","6.91","6.93","6.6","6.21","5.95","4.91","3.99","4.05","4","3.3","4.09","4.26","3.88","3.96","3.61","2.47","2.58","2.63","2.69","2.72","2.71","2.9","2.86","2.72","",
"Australia","AUS","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","94.65174479","107.5397251","119.9434265","137.4668482","150.0290243","162.454852","180.8889368","200.2436734","178.1098962","194.8809993","208.3942142","218.9617105","213.0269206","216.6532437","226.0049149","222.288947","250.5888729","248.184522","244.654997","",
"Australia","AUS","Rural population (% of total population)","SP.RUR.TOTL.ZS","18.471","18.059","17.772","17.489","17.208","16.932","16.66","16.493","16.328","16.164","16.001","15.84","15.68","15.522","15.364","15.208","15.053","14.9","14.748","14.597","14.448","14.3","14.33","14.359","14.389","14.418","14.448","14.478","14.507","14.537","14.567","14.597","14.715","14.843","14.972","15.102","15.233","15.364","15.497","15.63","15.765","15.9","15.778","15.657","15.537","15.418","15.3","15.178","15.057","14.937","14.818","14.7","14.598","14.498","14.398","14.299","14.2","14.096","13.988","13.876","13.759",
"Australia","AUS","Population growth (annual %)","SP.POP.GROW","","1.9897400460104","2.4406394012832","1.91781647792421","1.96235442011452","1.95971689521361","2.2831843822013","1.26227688799781","1.76415865607642","2.09302301013426","1.97018887868806","3.38029353689954","1.83814626273502","1.52881691369673","2.53122025874137","1.23118588792285","1.0026582602274","1.1266726798225","1.16288525870675","1.08064227016539","1.21894271014757","1.58685256936818","1.66753573306185","1.25054826434538","1.13222184499641","1.36734607483574","1.63898886728063","1.52098662618978","1.63620665679268","1.69256678030677","1.47997801595662","1.27457757809254","1.21339077499647","0.9783366810892","1.05850884158683","1.20801981192904","1.31381929938745","1.11872568961022","1.04223571564164","1.14250518739456","1.19227232344832","1.34835834227145","1.22056378534358","1.23399666342628","1.15935216218033","1.31978955436191","1.47522794532757","0.624678435014185","2.00402174031569","2.0610451296841","1.55548958906995","1.38952731561803","1.74582000067359","1.721151439989","1.49156648912847","1.43921665259925","1.56194049810399","1.68452310845434","1.53610551570388","1.52165367749095","1.25869817155796",
"Australia","AUS","Population ages 65 and above, female","SP.POP.65UP.FE.IN","503232","516652","532504","545604","558593","571089","578862","580017","583834","590296","597753","625759","645127","663394","690184","710573","728923","751329","775719","798908","821486","847888","871917","891074","910953","936567","962167","990092","1021321","1053384","1082691","1112855","1141218","1165564","1189657","1214687","1238140","1257952","1276217","1296240","1318543","1340676","1362927","1387214","1411953","1440365","1463009","1473615","1507646","1549425","1592165","1637216","1695712","1759436","1820986","1881281","1945439","2010982","2074185","2140811","2207667",
"Australia","AUS","Population ages 30-34, female (% of female population)","SP.POP.3034.FE.5Y","6.95224231658721","6.70783795842126","6.45770482209582","6.22280236410917","6.03214463995666","5.90397754140377","5.82147888332513","5.80475304299339","5.84076750043714","5.90282334011702","5.9732753396672","6.05402827251136","6.12378921958113","6.20630478340084","6.34042295336668","6.54302079431289","6.7828118068486","7.10665195001544","7.45476767335049","7.74372689414496","7.92899035902936","8.04979078300144","8.06321985541047","8.01005522545446","7.95731627212935","7.94269396190796","7.94082328943301","7.98144133092761","8.04802250773048","8.11217966773957","8.15683514594116","8.16983411437828","8.17389476951773","8.16505653143793","8.13344396566134","8.06910205178097","7.97475337362729","7.82850911830744","7.65143833606983","7.49386097574102","7.39542062368866","7.37220784125183","7.43246037407132","7.52688095497903","7.57243233025","7.5181476452331","7.38686919133644","7.17208151639551","6.93472181811092","6.76822724564278","6.72682447406688","6.75212619706154","6.88486064465477","7.07546898531616","7.25449129355053","7.38356265236762","7.43917014293614","7.44932107077098","7.42172495409352","7.37239316595332","7.31081387638838",
